Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
M. Barragán,26,71,Mexico,Club Necaxa,€2.8M,€10K,Right,9.0,ST
M. Ilaimaharitra,22,71,Madagascar,Sporting de Charleroi,€2.8M,€8K,Right,26.0,RDM
H. González,27,71,Mexico,Club Necaxa,€1.8M,€20K,Right,1.0,GK
J. El Yamiq,26,71,Morocco,Perugia,€2.3M,€10K,Right,4.0,CB
João Teixeira,24,71,Portugal,GD Chaves,€3.1M,€7K,Right,24.0,LW
M. Doumbia,23,71,Mali,Stade de Reims,€3.2M,€11K,Right,25.0,LM
R. Brégerie,31,71,France,1. FC Magdeburg,€1.6M,€15K,Right,33.0,CB
A. Diallo,26,71,Senegal,Stade Rennais FC,€2.1M,€14K,Right,16.0,GK
M. Bruno,24,71,Belgium,Sporting de Charleroi,€3M,€9K,Right,77.0,RM
J. Faussurier,31,71,France,Stade Brestois 29,€2.1M,€6K,Right,22.0,RM
C. Wickham,25,71,England,Crystal Palace,€3.1M,€32K,Right,21.0,ST
A. Abrashi,28,71,Albania,SC Freiburg,€1.9M,€15K,Right,6.0,CDM
K. Nakamura,23,71,Japan,Kashiwa Reysol,€2.4M,€5K,Right,23.0,GK
Suso Santana,33,71,Spain,CD Tenerife,€1.4M,€7K,Right,10.0,RM
J. Bowen,21,71,England,Hull City,€3.8M,€13K,Left,20.0,RM
Garrido,28,71,Spain,Cádiz CF,€1.9M,€7K,Right,5.0,RDM
E. N'Dicka,18,71,France,Eintracht Frankfurt,€3.4M,€8K,Left,2.0,LCB
J. González,19,71,Mexico,Monterrey,€3.7M,€13K,Right,25.0,CM
M. Suárez,22,71,Uruguay,,€0,€0,Right,13.0,RB
Y. Andreu,29,71,France,Angers SCO,€1.8M,€14K,Right,3.0,LB
J. Obita,24,71,England,Reading,€2.6M,€17K,Left,11.0,LB
Z. Erdal,30,71,Turkey,Sivasspor,€1.7M,€9K,Left,58.0,LB
L. Capezzi,23,71,Italy,Empoli,€3.4M,€18K,Right,28.0,CM
Elsinho,28,71,Brazil,Kawasaki Frontale,€1.9M,€7K,Right,18.0,RB
D. Asprilla,29,71,Colombia,Al Fayha,€2.3M,€14K,Right,70.0,RW
S. Torrico,38,71,Argentina,San Lorenzo de Almagro,€160K,€6K,Right,12.0,GK
Léo Gamalho,32,71,Brazil,Pohang Steelers,€1.9M,€6K,Right,10.0,ST
J. Plašil,36,71,Czech Republic,FC Girondins de Bordeaux,€750K,€18K,Right,18.0,CM
T. Darikwa,26,71,Zimbabwe,Nottingham Forest,€2.3M,€27K,Right,27.0,RB
Guilherme Sityá,28,71,Brazil,Jagiellonia Białystok,€1.9M,€7K,Left,12.0,LB
Escassi,29,71,Spain,CD Numancia,€2.1M,€7K,Right,6.0,CDM
G. Achilier,33,71,Ecuador,Monarcas Morelia,€950K,€7K,Right,24.0,LCB
Verza,31,71,Spain,CF Rayo Majadahonda,€1.6M,€5K,Right,12.0,RCM
B. Salamon,27,71,Poland,Frosinone,€2.2M,€9K,Right,27.0,CB
A. Forshaw,26,71,England,Leeds United,€2.7M,€26K,Right,4.0,LCM
J. Quiñones,28,71,Colombia,Deportes Tolima,€2.2M,€3K,Right,3.0,RCB
W. Camacho,32,71,Uruguay,Rosario Central,€1.8M,€11K,Left,15.0,LM
T. Buffel,37,71,Belgium,SV Zulte-Waregem,€800K,€8K,Right,7.0,RM
Xisco,32,71,Spain,CA Osasuna,€1.9M,€8K,Right,9.0,ST
Adeilson Gesser,26,71,Brazil,Bahia,€2.5M,€9K,Left,7.0,RAM
Roderick Miranda,27,71,Portugal,Olympiacos CFP,€2.4M,€1K,Right,25.0,CB
N. Besara,27,71,Sweden,Örebro SK,€2.7M,€4K,Right,10.0,CAM
D. Zbozień,29,71,Poland,Arka Gdynia,€1.8M,€4K,Right,33.0,RB
J. Cuero,30,71,Colombia,América de Cali,€2.2M,€2K,Left,23.0,LM
R. Coly,22,71,Senegal,OGC Nice,€2.8M,€15K,Left,12.0,LB
K. Müller,27,71,Germany,1. FC Heidenheim 1846,€1.8M,€7K,Right,1.0,GK
R. Zozulya,28,71,Ukraine,Albacete BP,€2.4M,€7K,Right,10.0,ST
R. Mphahlele,28,71,South Africa,Kaizer Chiefs,€1.9M,€1K,Right,22.0,RB
K. Lee,30,71,England,Sheffield Wednesday,€2.2M,€18K,Right,5.0,CM
B. Koita,27,71,France,Kasimpaşa SK,€2.5M,€11K,Right,9.0,ST
Heltinho Melo,34,71,Brazil,Atlético Paranaense,€1.2M,€10K,Right,7.0,LAM
Nascimentardo,30,71,Brazil,Ceará Sporting Club,€2.2M,€14K,Right,7.0,RAM
P. Barrera,31,71,Mexico,U.N.A.M.,€2.1M,€14K,Right,8.0,RM
R. Pucino,27,71,Italy,US Salernitana 1919,€2.2M,€3K,Right,2.0,RB
Miguel Rodrigues,25,71,Portugal,Rio Ave FC,€2.5M,€6K,Right,3.0,CB
C. Pinares,27,71,Chile,Colo-Colo,€2.7M,€6K,Left,19.0,LCM
A. Gonçalves,32,71,France,RC Strasbourg Alsace,€1.8M,€12K,Right,17.0,CM
K. Musona,28,71,Zimbabwe,RSC Anderlecht,€2.4M,€15K,Right,11.0,CF
Tiago,25,71,Brazil,Jeonbuk Hyundai Motors,€2.9M,€8K,Left,11.0,ST
N. Leiva,21,71,Spain,Olympiacos CFP,€3.5M,€1K,Right,17.0,LM
A. Schiavone,25,71,Italy,Venezia FC,€3.1M,€4K,Right,21.0,CM
Manuel da Costa,32,71,Morocco,Medipol Başakşehir FK,€1.4M,€14K,Right,27.0,RCB
S. Hierländer,27,71,Austria,SK Sturm Graz,€2.5M,€14K,Right,25.0,RM
Bruno Alves,36,71,Portugal,Parma,€325K,€16K,Right,22.0,RCB
J. Velázquez,27,71,Argentina,Club Tijuana,€2.3M,€13K,Right,2.0,RCB
M. Chanot,28,71,Luxembourg,New York City FC,€2.2M,€6K,Right,4.0,RCB
O. McBurnie,22,71,Scotland,Swansea City,€3.7M,€17K,Right,19.0,ST
J. Onomah,21,71,England,Sheffield Wednesday,€4.2M,€33K,Right,7.0,CAM
M. Madl,30,71,Austria,FK Austria Wien,€1.8M,€10K,Right,30.0,RCB
Cucurella,19,71,Spain,SD Eibar,€3.4M,€27K,Left,20.0,LM
C. Araujo,36,71,Argentina,Club Atlético Huracán,€270K,€7K,Right,4.0,LB
M. Hartmann,30,71,Germany,SG Dynamo Dresden,€1.8M,€12K,Right,6.0,CDM
M. Spiranovic,30,71,Australia,Perth Glory,€1.8M,€5K,Right,13.0,CB
Chong Te Se,34,71,Korea DPR,Shimizu S-Pulse,€1.2M,€4K,Right,9.0,ST
M. Albornoz,27,71,Chile,Hannover 96,€2M,€18K,Left,3.0,LB
A. Nukan,24,71,Turkey,RB Leipzig,€2.8M,€22K,Left,33.0,CB
L. Szukała,34,71,Poland,MKE Ankaragücü,€725K,€13K,Right,6.0,CB
E. Perlaza,29,71,Colombia,Independiente Medellín,€1.8M,€3K,Right,13.0,RB
M. Dal Hende,27,71,Denmark,FC Midtjylland,€2M,€13K,Left,5.0,LWB
Emerson Avintes,26,71,Brazil,Chapecoense,€2.5M,€11K,Right,7.0,RAM
Saberto Botelho,30,71,Brazil,Atlético Paranaense,€1.8M,€9K,Right,13.0,LDM
J. Dahlin,31,71,Sweden,Malmö FF,€1.4M,€4K,Right,27.0,GK
Martin Cordeia,34,71,Brazil,Internacional,€1.2M,€17K,Right,17.0,CAM
A. Oukidja,29,71,Algeria,FC Metz,€1.8M,€4K,Right,16.0,GK
B. Angulo,22,71,Ecuador,,€0,€0,Right,19.0,ST
S. Burchert,28,71,Germany,SpVgg Greuther Fürth,€1.7M,€6K,Right,30.0,GK
Nélson Monte,22,71,Portugal,Rio Ave FC,€2.8M,€5K,Right,4.0,CB
D. Rojas,23,71,Chile,Universidad Católica,€3.2M,€6K,Left,10.0,CAM
Charles,24,71,Brazil,Clube Sport Marítimo,€2.4M,€4K,Right,94.0,GK
H. Wolf,19,71,Austria,FC Red Bull Salzburg,€4M,€10K,Left,13.0,CAM
E. Videla,30,71,Argentina,Club Atlético Aldosivi,€2.2M,€8K,Right,87.0,CM
P. Ledesma,34,71,Argentina,Patronato,€725K,€9K,Right,27.0,CDM
R. van Drongelen,19,71,Netherlands,Hamburger SV,€3.6M,€4K,Left,4.0,LCB
F. Jensen,20,71,Finland,FC Augsburg,€3.7M,€11K,Right,22.0,CF
Artur,22,71,Brazil,Columbus Crew SC,€2.7M,€5K,Right,8.0,RDM
Edgar Costa,31,71,Portugal,Clube Sport Marítimo,€2.1M,€7K,Right,12.0,RM
S. Martínez,24,71,Chile,CD Huachipato,€2.5M,€7K,Right,21.0,CDM
D. Fisher,24,71,England,Preston North End,€2.6M,€8K,Right,2.0,RB
L. Clarke,33,71,England,Sheffield United,€1.5M,€10K,Right,9.0,ST
T. Hubočan,32,71,Slovakia,Olympique de Marseille,€1.4M,€23K,Right,25.0,CB
Dani Castellano,30,71,Spain,UD Las Palmas,€1.7M,€7K,Left,23.0,LB
Javi Castellano,30,71,Spain,UD Las Palmas,€1.8M,€7K,Right,18.0,CM
P. Olkowski,28,71,Poland,Bolton Wanderers,€1.9M,€8K,Right,16.0,RB
M. Caligiuri,34,71,Germany,SpVgg Greuther Fürth,€725K,€7K,Right,13.0,CB
Marlion Rolim,26,71,Brazil,Cruzeiro,€2.5M,€18K,Right,7.0,LAM
D. Burn,26,71,England,Wigan Athletic,€2.4M,€25K,Left,33.0,LCB
S. Schwab,27,71,Austria,SK Rapid Wien,€2.2M,€11K,Left,8.0,RDM
O. Aina,21,71,Nigeria,Torino,€3.2M,€16K,Right,34.0,RB
A. Mina,27,71,Ecuador,Yeni Malatyaspor,€2.3M,€9K,Right,2.0,LCB
S. Guirassy,22,71,France,1. FC Köln,€3.5M,€13K,Right,19.0,ST
L. Paqarada,23,71,Kosovo,SV Sandhausen,€2.6M,€4K,Left,19.0,LB
J. Sánchez,28,71,Mexico,Guadalajara,€1.9M,€22K,Right,17.0,RB
J. Wallace,24,71,England,Millwall,€3M,€9K,Right,7.0,RM
Jota,25,71,Portugal,CD Nacional,€3M,€8K,Right,8.0,LCM
Jesús Imaz,27,71,Spain,Wisła Kraków,€2.5M,€6K,Right,11.0,CAM
Dani Hernández,32,71,Venezuela,CD Tenerife,€1.4M,€5K,Right,25.0,GK
K. Diatta,19,71,Senegal,Club Brugge KV,€4.4M,€7K,Right,11.0,RM
X. Chavalerin,27,71,France,Stade de Reims,€2.2M,€11K,Left,7.0,LDM
G. Tzavellas,30,71,Greece,Alanyaspor,€1.8M,€9K,Left,31.0,LCB
O. Omoijuanfo,24,71,Norway,Stabæk Fotball,€3.4M,€3K,Right,99.0,LS
S. Dimitrievski,24,71,FYR Macedonia,Rayo Vallecano,€2.4M,€4K,Right,13.0,GK
Eltildo Bessa,34,71,Brazil,Paraná,€1.2M,€15K,Left,11.0,ST
B. Marshall,27,71,England,Norwich City,€2.5M,€18K,Right,7.0,LM
N. Mendez-Laing,26,71,England,Cardiff City,€2.8M,€30K,Right,19.0,RW
Álex Martínez,27,71,Spain,Granada CF,€2M,€6K,Left,3.0,LB
Z. Bakkali,22,71,Belgium,RSC Anderlecht,€3.2M,€11K,Right,99.0,LM
G. Gimbert,32,71,France,AC Ajaccio,€1.9M,€6K,Right,26.0,ST
M. Gajić,22,71,Serbia,FC Girondins de Bordeaux,€2.6M,€19K,Right,2.0,RB
S. Aigner,30,71,Germany,KFC Uerdingen 05,€2.2M,€6K,Right,13.0,ST
P. Köpke,22,71,Germany,Hertha BSC,€3.5M,€16K,Right,14.0,ST
F. Klos,30,71,Germany,DSC Arminia Bielefeld,€2.3M,€11K,Right,9.0,RS
K. McLean,26,71,Scotland,Norwich City,€2.8M,€18K,Left,23.0,CM
M. Olsson,30,71,Sweden,Swansea City,€1.7M,€17K,Left,23.0,LB
C. Nyman,25,71,Sweden,Eintracht Braunschweig,€3M,€5K,Right,15.0,ST
O. Estupiñán,21,71,Colombia,Vitória Guimarães,€3.6M,€6K,Left,26.0,ST
B. Wright,25,71,Australia,Bristol City,€2.5M,€23K,Right,5.0,CB
J. Bednarek,22,71,Poland,Southampton,€3.2M,€22K,Right,5.0,LCB
L. Vibe,31,71,Denmark,Changchun Yatai FC,€2.1M,€9K,Right,10.0,ST
O. Jiménez,29,71,Mexico,Club América,€1.6M,€27K,Right,27.0,GK
Alejandro Rodríguez,26,71,Spain,Empoli,€2.6M,€12K,Right,9.0,ST
T. Elphick,30,71,England,Hull City,€1.8M,€12K,Right,35.0,RCB
David Ferreiro,30,71,Spain,SD Huesca,€2.2M,€15K,Right,7.0,LM
M. Gobbi,37,71,Italy,Parma,€270K,€16K,Left,18.0,LB
R. Insigne,24,71,Italy,Benevento,€3.1M,€31K,Left,19.0,RW
N. Gyömbér,25,71,Slovakia,Perugia,€2.5M,€3K,Right,32.0,RCB
Túlio Sandoiro,34,71,Brazil,América FC (Minas Gerais),€1.2M,€12K,Right,18.0,ST
Hélder Barbosa,31,71,Portugal,Akhisar Belediyespor,€2.1M,€13K,Left,7.0,LM
B. Sako,30,71,Mali,West Bromwich Albion,€2.2M,€21K,Left,6.0,LM
M. Domizzi,38,71,Italy,Venezia FC,€325K,€3K,Left,6.0,CB
P. Oniangué,29,71,Congo,Stade Malherbe Caen,€1.8M,€14K,Right,6.0,CDM
P. Onuachu,24,71,Nigeria,FC Midtjylland,€3.4M,€14K,Right,33.0,ST
F. Balmont,38,71,France,Dijon FCO,€750K,€7K,Right,15.0,CM
Antoñito,30,71,Spain,Real Valladolid CF,€1.7M,€12K,Right,18.0,RB
A. Baby,29,71,Senegal,Royal Antwerp FC,€2.3M,€9K,Left,14.0,LM
B. Petković,23,71,Croatia,Dinamo Zagreb,€3.2M,€1K,Right,21.0,ST
Nélson Lenho,34,71,Portugal,CD Aves,€675K,€8K,Left,21.0,LB
Gumbau,23,71,Spain,CD Leganés,€2.8M,€14K,Left,6.0,CDM
C. Aboagye,23,71,Ghana,Club Atlas,€3.2M,€12K,Right,10.0,CM
Y. Erdoğan,25,71,Turkey,Bursaspor,€2.8M,€11K,Left,11.0,LM
Paulinho,32,71,Brazil,US Cremonese,€1.9M,€3K,Right,10.0,ST
J. Cooper,23,71,England,Millwall,€2.6M,€8K,Left,5.0,LCB
S. Malone,27,71,England,Derby County,€2.2M,€24K,Left,46.0,LB
M. Maloča,29,71,Croatia,SpVgg Greuther Fürth,€1.8M,€7K,Right,22.0,RCB
G. Berardi,29,71,Switzerland,Leeds United,€1.8M,€25K,Right,28.0,RB
Samu García,28,71,Spain,Levante UD,€2.4M,€15K,Right,14.0,RM
T. Derijck,31,71,Belgium,KAA Gent,€1.6M,€12K,Right,76.0,CB
A. Khalili,26,71,Sweden,Kasimpaşa SK,€2.9M,€10K,Right,21.0,CAM
Y. Endo,38,71,Japan,Gamba Osaka,€325K,€6K,Right,7.0,RCM
E. Kaçe,24,71,Albania,Panathinaikos FC,€3M,€1K,Right,26.0,LDM
D. Machado,24,71,Colombia,Atlético Nacional,€2.6M,€11K,Left,15.0,LB
S. Plavšić,22,71,Serbia,Sparta Praha,€3.2M,€1K,Left,22.0,LM
H. Reed,23,71,England,Blackburn Rovers,€2.8M,€22K,Right,4.0,RM
S. Klaiber,23,71,Netherlands,FC Utrecht,€2.5M,€9K,Right,17.0,RB
J. Boga,21,71,Ivory Coast,Sassuolo,€3.8M,€21K,Right,20.0,LM
D. Contento,28,71,Germany,Fortuna Düsseldorf,€1.9M,€18K,Left,26.0,LB
S. Padoin,34,71,Italy,Cagliari,€675K,€18K,Right,20.0,RB
D. Foulquier,25,71,France,Getafe CF,€2.6M,€27K,Right,24.0,RM
Paco Montañés,31,71,Spain,CD Tenerife,€2.1M,€7K,Right,18.0,LM
T. Dingomé,27,71,France,Stade de Reims,€2.2M,€11K,Left,20.0,CDM
D. Kądzior,26,71,Poland,Dinamo Zagreb,€2.8M,€1K,Left,17.0,RM
E. Taşdemir,22,71,Turkey,Bursaspor,€2.8M,€9K,Left,3.0,LB
P. Coutts,29,71,Scotland,Sheffield United,€2.3M,€10K,Right,15.0,CM
D. Dumić,26,71,Bosnia Herzegovina,SG Dynamo Dresden,€2.5M,€11K,Right,3.0,CB
Juan Carlos,30,71,Spain,CD Lugo,€1.5M,€5K,Right,1.0,GK
S. Privat,28,71,France,Valenciennes FC,€2.4M,€6K,Right,29.0,ST
G. Montiel,21,71,Argentina,River Plate,€3.2M,€9K,Right,29.0,RB
João Gamboa,21,71,Portugal,Clube Sport Marítimo,€3M,€5K,Right,21.0,CDM
A. Zhirov,27,71,Russia,SV Sandhausen,€2.4M,€5K,Left,2.0,CB
M. Tosetti,26,71,Switzerland,FC Thun,€2.8M,€10K,Right,11.0,RM
André Milazisco,34,71,Brazil,Atlético Paranaense,€950K,€7K,Left,12.0,GK
M. Colin,26,71,France,Birmingham City,€2.3M,€17K,Right,5.0,RB
F. Jozefzoon,27,71,Netherlands,Derby County,€2.5M,€29K,Right,11.0,RW
D. Moor,34,71,United States,Toronto FC,€725K,€5K,Right,3.0,CB
A. Turan,34,71,Turkey,Atiker Konyaspor,€725K,€11K,Right,4.0,CB
O. Bayram,26,71,Turkey,Galatasaray SK,€2.3M,€29K,Left,22.0,LB
S. Bossut,32,71,Belgium,SV Zulte-Waregem,€1.4M,€8K,Right,1.0,GK
J. Irvine,25,71,Australia,Hull City,€3.1M,€17K,Right,22.0,CAM
D. Biraschi,23,71,Italy,Genoa,€2.8M,€9K,Right,14.0,RCB
A. Bouchalakis,25,71,Greece,Olympiacos CFP,€2.8M,€1K,Left,6.0,CM
A. Voglsammer,26,71,Germany,DSC Arminia Bielefeld,€2.9M,€11K,Right,21.0,LS
Son Jun Ho,26,71,Korea Republic,Jeonbuk Hyundai Motors,€2.9M,€8K,Right,28.0,RCM
A. El Said,32,71,Egypt,Al Ahli,€1.8M,€23K,Right,19.0,RCM
A. Yiadom,26,71,Ghana,Reading,€2.3M,€20K,Right,3.0,RB
W. Sobota,31,71,Poland,FC St. Pauli,€2.1M,€12K,Right,28.0,LM
I. Latovlevici,32,71,Romania,Bursaspor,€1.3M,€11K,Left,14.0,LM
B. Leal,36,71,Chile,San Luis de Quillota,€750K,€2K,Right,2.0,LDM
E. Zelazny,26,71,France,Stade Malherbe Caen,€2.1M,€11K,Left,1.0,GK
A. Brignoli,26,71,Italy,Palermo,€2M,€2K,Left,32.0,GK
K. Narey,23,71,Germany,Hamburger SV,€3M,€9K,Right,7.0,RM
M. Pugh,31,71,England,Bournemouth,€2.1M,€35K,Right,7.0,LM
S. McTominay,21,71,Scotland,Manchester United,€3.8M,€43K,Right,17.0,CM
Fabrício Baiano,26,71,Brazil,Clube Sport Marítimo,€2.5M,€7K,Right,27.0,RDM
F. Navarro,29,71,Mexico,Club León,€1.8M,€18K,Right,5.0,RB
R. Bajić,24,71,Bosnia Herzegovina,Medipol Başakşehir FK,€3.2M,€16K,Left,9.0,ST
M. Le Bihan,28,71,France,OGC Nice,€2.4M,€22K,Right,10.0,ST
A. Rentería,25,71,Colombia,Cruz Azul,€3.1M,€8K,Right,18.0,ST
A. Leya Iseka,20,71,Belgium,Toulouse Football Club,€3.4M,€15K,Right,10.0,ST
André Moreira,22,71,Portugal,Aston Villa,€2.8M,€17K,Right,23.0,GK
C. Gülselam,30,71,Turkey,Alanyaspor,€1.8M,€9K,Right,6.0,LDM
M. Rodríguez,32,71,Argentina,Universidad de Chile,€1.3M,€8K,Right,6.0,RB
G. Litteri,30,71,Italy,Venezia FC,€2.3M,€4K,Right,29.0,ST
Raphael Rossi,27,71,Brazil,FC Sion,€2.2M,€18K,Right,2.0,CB
B. Kamara,21,71,France,RC Strasbourg Alsace,€2.4M,€6K,Right,30.0,GK
R. Oshima,25,71,Japan,Kawasaki Frontale,€2.4M,€6K,Right,10.0,RDM
L. Bruins,31,71,Netherlands,Excelsior,€2.1M,€5K,Right,10.0,LM
N. Kebano,26,71,DR Congo,Fulham,€2.8M,€35K,Right,7.0,LW
Wiliam Santinho,34,71,Brazil,Fluminense,€950K,€13K,Right,12.0,GK
L. Sadiku,26,71,Kosovo,Kasimpaşa SK,€2.4M,€9K,Right,6.0,CDM
Y. Barbet,25,71,France,Brentford,€2.4M,€23K,Left,29.0,LB
Javi Moyano,32,71,Spain,Real Valladolid CF,€1.3M,€12K,Right,17.0,RB
J. McLaughlin,29,71,Scotland,Sunderland,€1.8M,€8K,Right,1.0,GK
M. Büchel,27,71,Liechtenstein,Empoli,€2.4M,€10K,Left,40.0,CM
B. Oviedo,28,71,Costa Rica,Sunderland,€1.9M,€9K,Left,3.0,LB
J. Osorio,26,71,Canada,Toronto FC,€2.9M,€6K,Right,21.0,CM
Wagner Orsinho,30,71,Brazil,Fluminense,€1.7M,€16K,Left,13.0,LB
J. Elías,22,71,Argentina,Godoy Cruz,€2.8M,€8K,Right,10.0,RCM
Evandro,31,71,Brazil,Hull City,€2.1M,€18K,Right,7.0,CAM
Manu Morlanes,19,71,Spain,Villarreal CF,€4.1M,€9K,Right,28.0,CM
K. Großkreutz,29,71,Germany,KFC Uerdingen 05,€1.8M,€6K,Right,6.0,RB
T. Kessler,32,71,Germany,1. FC Köln,€1.4M,€10K,Right,18.0,GK
M. Beevers,28,71,England,Bolton Wanderers,€1.9M,€8K,Left,5.0,LCB
D. Gastaldello,35,71,Italy,Brescia,€550K,€2K,Right,5.0,LCB
P. Faragò,25,71,Italy,Cagliari,€2.9M,€18K,Right,24.0,RM
C. Ramírez,30,71,Colombia,Rionegro Águilas,€1.8M,€2K,Left,29.0,LCB
I. Bennacer,20,71,Algeria,Empoli,€4M,€7K,Left,10.0,CM
O. Coulibaly,28,71,Mali,Panathinaikos FC,€1.9M,€1K,Right,78.0,RB
Alex Alegría,25,71,Spain,Rayo Vallecano,€3M,€15K,Right,15.0,ST
C. Adjapong,20,71,Italy,Sassuolo,€3.8M,€21K,Right,98.0,LM
Dorado,35,71,Spain,Rayo Vallecano,€550K,€8K,Left,5.0,CB
J. Walters,34,71,Republic of Ireland,Ipswich Town,€1.2M,€33K,Right,39.0,ST
A. De Sart,21,71,Belgium,Sint-Truidense VV,€3.3M,€6K,Right,5.0,LDM
Luisinho Conradi,30,71,Brazil,Atlético Mineiro,€1.7M,€19K,Left,14.0,LB
B. Özcan,20,71,Turkey,VfB Stuttgart,€3.4M,€15K,Right,20.0,CAM
P. Bamford,24,71,England,Leeds United,€3.2M,€25K,Left,9.0,ST
R. López,25,71,Mexico,Pachuca,€2.6M,€16K,Right,6.0,RB
F. Monteseirín,23,71,Argentina,Club Atlético Lanús,€2.8M,€9K,Right,6.0,CB
A. Calabresi,22,71,Italy,Bologna,€3M,€15K,Right,33.0,CB
J. Léa Siliki,22,71,France,Stade Rennais FC,€3.8M,€17K,Left,12.0,CM
J. De Sart,23,71,Belgium,KV Kortrijk,€2.7M,€8K,Right,23.0,CDM
M. Sylla,24,71,Senegal,SV Zulte-Waregem,€3.1M,€13K,Right,19.0,RM
K. Boli,27,71,France,Guizhou Hengfeng FC,€2.4M,€9K,Right,39.0,LCB
D. Avdijaj,21,71,Kosovo,Willem II,€3.4M,€6K,Right,18.0,LW
Nauzet,33,71,Spain,UD Las Palmas,€1.2M,€6K,Right,13.0,GK
G. Molins,29,71,Sweden,Malmö FF,€2.4M,€6K,Right,11.0,ST
M. Hector,25,71,Jamaica,Sheffield Wednesday,€2.5M,€16K,Right,34.0,LCB
S. Andersson,26,71,Sweden,1. FC Union Berlin,€2.8M,€21K,Right,10.0,ST
F. Erpen,35,71,Argentina,San Martín de San Juan,€550K,€7K,Right,3.0,CB
F. Meza,28,71,Argentina,Colo-Colo,€2.2M,€6K,Right,2.0,CB
D. Lemos,29,71,Argentina,Patronato,€1.8M,€10K,Right,24.0,LDM
Z. Kuzmanović,30,71,Serbia,FC Basel 1893,€2.2M,€17K,Right,8.0,CM
Lisandro Semedo,22,71,Portugal,Fortuna Sittard,€3.2M,€6K,Right,14.0,RW
J. Prior,22,71,France,FC Girondins de Bordeaux,€2.4M,€15K,Right,30.0,GK
V. Salazar,25,71,Argentina,San Lorenzo de Almagro,€2.6M,€11K,Right,29.0,RB
A. Diomande,28,71,Norway,Los Angeles FC,€2.4M,€7K,Right,99.0,ST
A. Niane,25,71,Mali,Sporting de Charleroi,€2.9M,€10K,Right,9.0,ST
Stephen Eustáquio,21,71,Portugal,GD Chaves,€3.8M,€5K,Right,8.0,CDM
W. Montoya,24,71,Argentina,Cruz Azul,€3M,€14K,Right,10.0,RM
Kadu,31,71,Brazil,Göztepe SK,€1.6M,€14K,Right,44.0,CB
D. Bentley,24,71,England,Brentford,€2.3M,€16K,Right,1.0,GK
B. Drągowski,20,71,Poland,Fiorentina,€3.2M,€15K,Right,69.0,GK
G. Mancini,22,71,Italy,Atalanta,€3.2M,€13K,Right,23.0,LCB
T. Clarke,30,71,England,Preston North End,€1.8M,€9K,Right,5.0,RB
F. Boeckx,31,71,Belgium,RSC Anderlecht,€1.4M,€10K,Right,1.0,GK
Adryan,23,71,Brazil,FC Sion,€3.2M,€17K,Right,11.0,LS
M. Grüttner,32,71,Germany, SSV Jahn Regensburg,€1.9M,€9K,Right,15.0,RS
J. Cevallos,23,71,Ecuador,Sporting Lokeren,€3.2M,€9K,Right,10.0,CAM
L. Acosta,23,71,Argentina,Belgrano de Córdoba,€2.6M,€6K,Right,1.0,GK
M. Guendouzi,19,71,France,Arsenal,€4M,€20K,Right,29.0,CDM
F. Nita,30,71,Romania,Sparta Praha,€1.5M,€1K,Right,16.0,GK
P. Ebert,31,71,Germany,SG Dynamo Dresden,€2.1M,€13K,Right,20.0,LF
D. Marshall,33,71,Scotland,Hull City,€1.2M,€13K,Right,1.0,GK
K. Peterson,23,71,Sweden,Heracles Almelo,€3.2M,€6K,Right,7.0,LM
S. Lammers,21,71,Netherlands,SC Heerenveen,€3.7M,€8K,Left,9.0,ST
A. King,29,71,Wales,Leicester City,€2.3M,€38K,Right,8.0,CM
P. Mwene,24,71,Austria,1. FSV Mainz 05,€2.8M,€13K,Right,23.0,RB
Andrei Girotto,26,71,Brazil,FC Nantes,€2.4M,€15K,Right,20.0,CDM
Danilo Silva,31,71,Brazil,Los Angeles FC,€1.6M,€15K,Right,6.0,RCB
B. Kuscevic,22,71,Chile,Universidad Católica,€3.3M,€6K,Right,13.0,LCB
D. Sallói,21,71,Hungary,Sporting Kansas City,€3.7M,€5K,Right,20.0,LW
Ukra,30,71,Portugal,Santa Clara,€2.2M,€5K,Right,7.0,RW
B. Acosta,31,71,Costa Rica,SK Brann,€1.6M,€4K,Right,15.0,LCB
Tramontinaldo,34,71,Brazil,Atlético Paranaense,€675K,€9K,Right,2.0,RB
S. Hernández,31,71,Colombia,Junior FC,€2.1M,€3K,Right,7.0,CAM
L. Lacroix,26,71,Switzerland,Hamburger SV,€2.6M,€17K,Right,2.0,CB
A. Godoy,28,71,Panama,San Jose Earthquakes,€2.4M,€6K,Left,20.0,RCM
N. McGinn,30,71,Northern Ireland,Aberdeen,€2.2M,€6K,Right,7.0,RM
T. Boyd,23,71,New Zealand,Vitória Guimarães,€3.2M,€6K,Right,23.0,RM
M. Eikrem,27,71,Norway,Molde FK,€2.4M,€6K,Right,7.0,CAM
Kang Hyeon Mu,23,71,Korea Republic,Pohang Steelers,€2.2M,€4K,Right,31.0,GK
H. Toledo,22,71,Argentina,Argentinos Juniors,€3.2M,€9K,Right,19.0,LW
M. Lacen,34,71,Algeria,Málaga CF,€725K,€7K,Left,6.0,CDM
E. Adu,27,71,Ghana,AIK,€2.4M,€7K,Right,8.0,CM
L. Antei,26,71,Italy,Benevento,€2.5M,€4K,Right,5.0,CB
